,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,3466596952.8565807,76163570.04854369
2,1164401251.8656933,1720076099.4174757
3,1181087458.5226278,813116072.6990291
4,1179417179.96691,759482967.1456311
5,1180164162.2423358,1558570645.747573
6,1180628128.6384428,902765290.8737864
7,1174060344.9459853,1206804332.4271846
8,1182028034.8963504,825927909.2815534
9,1175833739.2739658,598526360.5436894
10,1180055868.23163,1255486149.592233
11,1177476514.086618,766221943.6116505
12,1183940014.8087592,772542281.1650486
13,1179580210.5148418,1290178519.6116505
14,1173552768.4982967,951060671.3786408
15,1177929792.280292,1294641471.0679612
16,1178329483.0092456,902519349.1262136
17,1183958056.2218978,779961862.2135923
18,1174697632.7318735,1290119319.9223301
19,1181192790.252068,1109672314.407767
20,1179910264.9927008,829681361.3980583
21,1179417799.1785889,1050289324.5825243
22,1180805194.2306569,1267927190.368932
23,1179633247.2525547,1046745231.6893204
24,1182293140.0875912,684694925.5145631
25,1183676882.6082726,595821279.6893204
26,1168476345.3508515,723076038.2135923
27,1180675247.649635,729555746.7961165
28,1180937581.5785887,906676246.368932
29,1179479943.9104624,1274649159.4563107
30,1177354312.2997568,1078078632.0776699
31,1180039773.710949,1026612906.8737864
32,1178321644.0058393,740011747.1067961
33,1181759762.8885646,1216152664.5436893
34,1173451379.3090024,1244288078.6019418
35,1180981207.6846716,989869951.2233009
36,1177973512.5177615,1252369167.5339806
37,1182657359.8053527,664488538.5631068
38,1179897154.5381994,994173197.3592232
39,1176848802.3980536,1419108309.1262136
40,1182885941.7226276,1350501584.4660194
41,1175360014.8243308,1079001017.1650486
42,1180726025.327494,1410080480.621359
43,1179124230.2442822,1165839163.6504855
44,1180950374.6180048,696529134.6019417
45,1174975851.6632602,724870971.184466
46,1179149211.5931873,762645284.0388349
47,1183523104.981022,938940215.3009709
48,1176431508.6014597,1912938470.8349514
49,1177030922.931387,929951019.3398058
50,1180827650.0243309,1158915016.3883495
51,1183645736.128467,1207689916.5825243
52,1175620410.1138687,908364070.8349514
53,1179491281.1289537,1851137682.0194175
54,1184954781.6175182,1683642329.4757283
55,1176594318.263747,1227471134.1359224
56,1181087221.6603405,1145711963.0291262
57,1175501540.2355232,782593067.8058252
58,1181227036.6832116,1407189470.7572815
59,1178457876.86618,1039045491.5728155
60,1180855530.6978102,939707595.9611651
61,1176830507.6476886,1072532547.7281554
62,1178279521.2768857,1305705693.2038834
63,1182718567.4744525,2037156235.4951456
64,1177454142.5673966,758348545.553398
65,1183907037.5863748,1613370312.6990292
66,1173519081.607786,1238821931.4951456
67,1180780846.7931874,1045291190.8349514
68,1179298990.341606,1300480114.0194175
69,1181518364.9323602,999250114.3300971
70,1181079895.030657,1181212370.6407766
71,1176746603.7411191,1311467823.5339806
72,1183487958.750365,771159022.7572815
73,1178155032.8214111,1405253367.3009708
74,1177390996.7104623,1556600126.1359224
75,1178738380.659854,1972036897.8640776
76,1177551741.8978102,1456321316.3495145
77,1185207360.9343066,1250409280.0
78,1175778647.0462286,1101207159.145631
79,1179426295.0462286,1600373749.4368932
80,1177577305.8491485,1265982267.6504855
81,1178595904.358151,1138569264.1553397
82,1182181210.4564476,602664352.1553398
83,1178012199.2875912,1061975974.5242718
84,1182361143.1708028,1015431155.8834951
85,1178580076.7844281,900320420.0388349
86,1177896290.1800487,1510664368.776699
87,1179168591.9143553,933582596.9708738
88,1183306926.2793188,955526666.0970874
89,1177594333.3216546,624047218.6407768
90,1182512952.5878346,1505309717.1262136
91,1175779821.9367397,876014626.9514563
92,1180682610.0788321,1018997328.9320388
93,1177359782.5090024,1331001151.0679612
94,1182635164.2160585,851873269.1262136
95,1176325614.3571777,841274785.553398
96,1182311241.8413625,1471576229.2815535
97,1178941461.6136253,1786320763.3398058
98,1178291720.9226277,1027841797.1262136
99,1183474464.9187348,917603525.5922331
100,1176521796.7649634,1116404269.8252428
